id,created at (UTC),category,sub-category,user,type,status,district,circle,village,latitude,longitude,confirmation,Image link,remarks,How many times did you go to the farm land until it was open and accesible?,What is the type of the road available to the farm land?,How much distance should one travel from the farm land to avail public transport facility? (Approx in K.M),What is the type of the mobile network available at the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What are different Mobile network service providers available at the location of the farm land?,What is the type of structure of the farm land?,What is the type of security available for the farm land?,How many are employed in the farm land?,Where do you get water for operational purposes for the farm land?,What are the other source of water you depend upon?,How do you deal with the agricultural waste generated from the farm land?,What are the other mechanism used to discard the waste from the farm land?,Are the premises of farm land cleaned with disinfectant regularly?,How frequently are the premises at the farm land cleaned with disinfectant in a week?,Do you have grid connection for energy supply for the farm land?,How many hours per day are you facing power cuts in the farm land?,What is the alternative energy source available for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How many hours do you rely on the alternative energy source in a day for the farm land?,How do you maintain records for operations of the farm land?,What are the other record mechanisms?,What are the areas the farm land gets support from government agencies (not for your customers)?,Do you get any support from NGO(s) for the farm land?,What is the name of the organization?,Are you using digital technologies that can be used in the farm land?,For what purpose are you using digital tools here at the farm land?,Where do you procure inputs required for the farm land?,What other sources are used to get needed inputs?,What are different chemical inputs used in the farm land?,What other chemical inputs are used in the farm land?,What is the type of covering material used in the farm land?,What other type of covering material are used in the farm land?,What is the water source used for irrigation mechanism?,What other source of water do you depend upon for irrigation?,What is the type of irrigation mechanism used in the farm land?,What are other mechanism used for irrigation?,How does the farm land advertise about the services available?,What is the average operational cost per month to run the farm land?(Excluding Salary of the Employees),How much amount of products are produced in the farm land in a year?(In K.G),What is the type of agriculture products produced in the farm land?,What is the average cost per K.G of the products produced from the farm land?(In Rupees),What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,What kind of bill do you give for the services you provide?,Which type of customers purchase the products produced in the farm land?,How does the customers transport the goods produced from the farm land?
2731,2019-03-30 10:38:00,Agriculture,Farm land,nemcha nyoungja,Private,In Use,Changlang,Changlang,Old Changlang,27.14257,95.74078,Approved,https://smartvillage.imagetrekk.com/storage/images/BmUYt5LMhORku2ihDnJ0wYAGalPZpA8A2NqIiNhk.jpeg?asset_id=2731,fruit garden,1,Footway,2,4G+ Reliable,"[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","[""Vodafone"",""BSNL"",""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",1,Water from Government,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Others,by own,None,,None,,Rainfed,,Others,rain water,"[""Others""]",3000,12000,lichhi,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Others""]","[""2 Wheeler""]"
2749,2019-03-31 09:31:59,Agriculture,Farm land,tashi drema,Private,In Use,Tawang,Mukto,Gomkelling,27.55154,91.92865,Approved,https://smartvillage.imagetrekk.com/storage/images/rdiXWhLIRdhM0utF5AZcA3PdDe5K6ysG8vWjY31d.jpeg?asset_id=2749,Need of Fencing and Protection Walls,1,Footway,0.4,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",20,Water from Government,,Discarded in Open Field,,No,,No,,None,,,,,,,Others,nothing,"[""None""]",No,,No,,None,,Others,local khad,Lath/Bamboo,,Rainfed,,Drip Irrigation,,"[""Village Meeting ""]",15000,1000,Paddy,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Head Load""]"
2842,2019-04-23 09:08:37,Agriculture,Farm land,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.34084,92.27933,Approved,https://smartvillage.imagetrekk.com/storage/images/Y0cFgFoYs3kLXFH8BjxvLDh1QEcn8W7gIjxprkpr.jpeg?asset_id=2842,kiwi farm near Dirang boutique cottage,1,Footway,0.5,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",1,Water from Government,,Burnt within the premises,,No,,No,,None,,,,,,,Others,nothing,"[""None""]",No,,No,,Local Supplier,,Fertilizer,,None,,Rainfed,,Others,tape water,"[""Others""]",500,60,"kiwi,orange,walnut",1-100,None,None,None,None,"[""Others""]","[""Head Load""]"
2843,2019-04-23 09:18:19,Agriculture,Farm land,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.33876,92.27902,Approved,https://smartvillage.imagetrekk.com/storage/images/LyZYe36DbuseQuN107rZon73TjWbO3hSVaDtLevO.jpeg?asset_id=2843,maize field near Dirang boutique cottage,1,Footway,0.5,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",1,Water from Government,,Burnt within the premises,,No,,No,,None,,,,,,,Others,nothing,"[""None""]",No,,No,,None,,Fertilizer,,None,,Rainfed,,Others,nothing,"[""Others""]",500,500,maize field,1-100,None,None,None,None,"[""None""]","[""Head Load""]"
2844,2019-04-23 09:23:13,Agriculture,Farm land,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.31679,92.28921,Approved,https://smartvillage.imagetrekk.com/storage/images/AX25M7LYsoH3OppUOo0V0qfLNCKd6fFgVhX37Qrg.jpeg?asset_id=2844,orange farm,1,Footway,0.5,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",1,Water from Government,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,Fertilizer,,None,,Rainfed,,Canal Irrigation,,"[""Others""]",200,50,"maize,kiwi, orange",1-100,None,None,None,None,"[""Others""]","[""Head Load""]"
2850,2019-04-23 11:55:29,Agriculture,Farm land,tsering palden yamchodu,Private,In Use,West Kameng,Nafra,Lower Dzong,27.36853,92.53703,Pending,https://smartvillage.imagetrekk.com/storage/images/9Kgr7353VTvJOasbnz1XHf0FsZjgWfJD1gwdBi6y.jpeg?asset_id=2850,tomato cultivation,2,Pakka Road,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",1,Water from Government,,Burnt within the premises,,No,,Yes,2,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Local Supplier,,Fertilizer,,Lath/Bamboo,,Rainfed,,Others,water pipe,"[""Others""]",2000,1000,tomato,1-100,Others,Others,Others,Others,"[""Others""]","[""Head Load"",""2 Wheeler"",""Mini Luggage Transport Vehicle""]"
2851,2019-04-23 11:55:35,Agriculture,Farm land,tsering palden yamchodu,Private,In Use,West Kameng,Nafra,Lower Dzong,27.36856,92.53724,Approved,https://smartvillage.imagetrekk.com/storage/images/CALoWgnSrv7uAuOZYBxaRXXJSL9O4vdkiquAU4Sa.jpeg?asset_id=2851,tomato cultivation,2,Pakka Road,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",2,Water from Government,,Burnt within the premises,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Supplier in other states,,Fertilizer,,Lath/Bamboo,,Rainfed,,Others,water pipe,"[""Others""]",5000,800,tomato,1-100,Others,Others,Others,Others,"[""Others""]","[""2 Wheeler"",""Sumo\/Tracker"",""Mini Luggage Transport Vehicle""]"
2853,2019-04-23 11:55:35,Agriculture,Farm land,tsering palden yamchodu,Private,In Use,West Kameng,Nafra,Lower Dzong,27.36925,92.53723,Approved,https://smartvillage.imagetrekk.com/storage/images/Vwo3DLeNPH0g165FGAmruxC1AqqcScmCAHEUoKQv.jpeg?asset_id=2853,tomato cultivation,2,Pakka Road,0,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",6,Water from Government,,Burnt within the premises,,No,,Yes,2,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Supplier in other states,,Fertilizer,,Lath/Bamboo,,Rainfed,,Others,water pipe,"[""Others""]",12000,6000,tomato,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Others""]","[""2 Wheeler"",""Sumo\/Tracker"",""Mini Luggage Transport Vehicle""]"
2854,2019-04-23 11:55:35,Agriculture,Farm land,tsering palden yamchodu,Private,In Use,West Kameng,Nafra,Lower Dzong,27.37288,92.5347,Approved,https://smartvillage.imagetrekk.com/storage/images/np3RLv0LNAY8KxZgICJV5zG7fnVJZ70wBJU5mSTk.jpeg?asset_id=2854,tomato cultivation,1,Footway,0.1,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",12,River or Canal,,Burnt within the premises,,Yes,3,Yes,2,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Supplier in other states,,Fertilizer,,Lath/Bamboo,,River/Stream,,Canal Irrigation,,"[""Others""]",56000,12000,tomato,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Others""]","[""Sumo\/Tracker"",""Mini Luggage Transport Vehicle"",""Huge Luggage Transport Vehicle""]"
2855,2019-04-23 11:55:37,Agriculture,Farm land,tsering palden yamchodu,Private,In Use,West Kameng,Nafra,Lower Dzong,27.37155,92.53868,Pending,https://smartvillage.imagetrekk.com/storage/images/w2WW6w6t8pBkwQVXmNABIwHy29wHnEDtCpcF2R7D.jpeg?asset_id=2855,walnut cultivation,2,Pakka Road,0.8,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",2,Water from Government,,Burnt within the premises,,No,,Yes,2,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Supplier in other states,,Fertilizer,,None,,Rainfed,,Others,water pipe,"[""Others""]",2000,700,walnut,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Others""]","[""Sumo\/Tracker"",""Mini Luggage Transport Vehicle""]"
2856,2019-04-23 11:55:38,Agriculture,Farm land,administrator,Private,In Use,West Kameng,Nafra,Nafra,27.37036,92.53516,Approved,https://smartvillage.imagetrekk.com/storage/images/oyfCheWJBmxW50dE5lVKLYTx4U4SUIusMe9J2Yl6.jpeg?asset_id=2856,tomato cultivation,2,Pakka Road,0.2,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",5,Water from Government,,Burnt within the premises,,Yes,1,Yes,2,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Supplier in other states,,Fertilizer,,Lath/Bamboo,,Rainfed,,Others,water pipe,"[""Others""]",12000,5000,tomato,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Others""]","[""2 Wheeler"",""Sumo\/Tracker"",""Mini Luggage Transport Vehicle""]"
3082,2019-04-30 07:01:51,Agriculture,Farm land,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.92705,93.41999,Pending,https://smartvillage.imagetrekk.com/storage/images/YyZg3WD65ktkq6gvTkOiJxTk7sZvnVvPFo74J8w9.jpeg?asset_id=3082,maize field,1,Pakka Road,0.4,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",1,Water from Government,,None,,No,,No,,None,,,,,,,Others,nothing,"[""None""]",No,,No,,None,,Fertilizer,,None,,Rainfed,,Drip Irrigation,,"[""Others""]",200,90,"maize,vegetables",1-100,None,None,None,None,"[""None""]","[""Head Load""]"
3089,2019-04-30 07:01:52,Agriculture,Farm land,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.51615,93.6095,Pending,https://smartvillage.imagetrekk.com/storage/images/ILq3B1y3czNSkeGKkheMi17doh9N5q5ps67pCxGs.jpeg?asset_id=3089,maize field for self consumption,1,Footway,0.6,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",1,Water from Government,,None,,No,,No,,None,,,,,,,Others,nothing,"[""None""]",No,,No,,None,,Fertilizer,,None,,Rainfed,,Drip Irrigation,,"[""Others""]",500,50,"maize,vegetables,wheat",1-100,None,None,None,None,"[""None""]","[""Head Load""]"
3093,2019-04-30 07:01:53,Agriculture,Farm land,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.77162,93.47767,Pending,https://smartvillage.imagetrekk.com/storage/images/iSzMKtJEo5OFaKSPpdWAdYyvmd2IPBTxhcq3s0Bs.jpeg?asset_id=3093,vegetables farm,1,Footway,0.5,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",1,Water from Government,,None,,No,,No,,None,,,,,,,Others,nothing,"[""None""]",No,,No,,None,,Fertilizer,,None,,Rainfed,,Drip Irrigation,,"[""Others""]",1000,30,"vegetables, orange",1-100,None,None,None,None,"[""None""]","[""Head Load""]"
3100,2019-04-30 07:01:54,Agriculture,Farm land,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.89307,93.3321,Pending,https://smartvillage.imagetrekk.com/storage/images/szBHAHLqtVftrqEsGJuWxMTIxP2jNUI3R34vctKx.jpeg?asset_id=3100,wheat farm for self consumption,1,Pakka Road,0.4,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",1,Water from Government,,None,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,Fertilizer,,None,,Rainfed,,Drip Irrigation,,"[""Others""]",1000,60,wheat,1-100,None,None,None,None,"[""None""]","[""Head Load""]"
3117,2019-04-30 07:02:14,Agriculture,Farm land,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.97072,93.44196,Pending,https://smartvillage.imagetrekk.com/storage/images/Uvbj1raREmN4UKuctkeBYJjNskjE02iP0vO9LdYT.jpeg?asset_id=3117,maize farm,1,Pakka Road,0.5,4G Unreliable,"[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","[""BSNL"",""Vodafone"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",1,Water from Government,,None,,No,,No,,None,,,,,,,Traditional Book Keeping,n,"[""None""]",No,,No,,None,,Fertilizer,,None,,Rainfed,,Drip Irrigation,,"[""Others""]",1000,50,maize,1-100,None,None,None,None,"[""None""]","[""Head Load""]"
3132,2019-04-30 12:26:25,Agriculture,Farm land,tendel zangmu wangja,Government,In Use,West Kameng,Shergaon,Shergaon,27.13428,92.27441,Approved,https://smartvillage.imagetrekk.com/storage/images/xqdB8DF71Bvht2zLfY3z9volFb3EZDnnBGQF6boX.jpeg?asset_id=3132,Horticulture Farm,2,Kacha Road,24,4G Unreliable,"[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","[""BSNL"",""Airtel""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",13,Water from Government,,Burnt within the premises,,Yes,2,Yes,4,Kerosene Generator,5,5,5,5,5,5,Digital Records- Using Computer/Mobile,,"[""Financial Support"",""Technical Support"",""Marketing Support"",""Insurance Support"",""Transport Support""]",No,,No,,Government Agency,,Fertilizer,,Polysheet,,Rainfed,,Drip Irrigation,,"[""Village Meeting "",""Posters\/ Display Boards""]",60000,30000,Apple Pear Plum,101-200,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers"",""Govt. Agencies""]","[""Mini Luggage Transport Vehicle""]"
3134,2019-04-30 12:26:28,Agriculture,Farm land,tendel zangmu wangja,Private,In Use,West Kameng,Shergaon,Shergaon,27.12763,92.23825,Approved,https://smartvillage.imagetrekk.com/storage/images/XQ1kZ8bIq38t2XmEtTqUhMqZbKnvIBtRI68AjSmq.jpeg?asset_id=3134,Apple and Kiwi farm,1,Kacha Road,30,Nil,,,,,,,"Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",3,Water from Government,,Burnt within the premises,,Yes,3,Yes,4,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Supplier in other states,,Fertilizer,,None,,Others,Pipe water,Others,pipe water,"[""Village Meeting ""]",25000,3000,apple and kiwi,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Others""]","[""Mini Luggage Transport Vehicle""]"
3135,2019-04-30 12:26:29,Agriculture,Farm land,tendel zangmu wangja,Private,In Use,West Kameng,Shergaon,Shergaon,27.12702,92.23938,Approved,https://smartvillage.imagetrekk.com/storage/images/2Zcs62XMUEE41PpCs83scxv4POexiKLqo9LZY5po.jpeg?asset_id=3135,Apple and Kiwi Farm 90 GM kiwi 90 rs,1,Kacha Road,30,Nil,[],[],[],[],[],[],"Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",3,Water from Government,,Burnt within the premises,,Yes,3,Yes,4,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Supplier in other states,,Fertilizer,,None,,Others,connect pipe,Others,pipe water,"[""Village Meeting ""]",25000,3000,Apple and Kiwi,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers""]","[""Huge Luggage Transport Vehicle"",""Mini Luggage Transport Vehicle""]"
3136,2019-04-30 12:27:11,Agriculture,Farm land,tendel zangmu wangja,Private,In Use,West Kameng,Shergaon,Shergaon,27.11415,92.25791,Approved,https://smartvillage.imagetrekk.com/storage/images/sFqchUJwo3eSzmbZE7Vm3E8ODVubLdm86fs5FiLb.jpeg?asset_id=3136,organic farming is done P. N. Thungon farm land owner,1,Kacha Road,30,4G Unreliable,"[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","[""Jio"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",8,Water from Government,,Burnt within the premises,,Yes,3,Yes,4,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Supplier in other states,,None,,None,,River/Stream,,Others,Pipe,"[""Village Meeting ""]",13000,10000,"Apple, Potato",1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers"",""Others""]","[""Huge Luggage Transport Vehicle""]"
3138,2019-04-30 12:27:12,Agriculture,Farm land,tendel zangmu wangja,Private,In Use,West Kameng,Shergaon,Shergaon,27.343,93.30031,Approved,https://smartvillage.imagetrekk.com/storage/images/Cqad6Cb4OZGAy0pSpOFxoT4BbglbYWJNkNDEaxo2.jpeg?asset_id=3138,farm land Dorjee Khandu Thungon,1,Kacha Road,30,4G Unreliable,"[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","[""Airtel"",""BSNL""]","Pakka/Permenant(Steel,Concrete,etc.,)","[""Compound Wall\/ Fencing""]",3,Water from Government,,Burnt within the premises,,Yes,3,Yes,4,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Supplier in other states,,None,,None,,River/Stream,,Others,water tank,"[""Village Meeting ""]",15000,2500,Apple,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Others""]","[""Mini Luggage Transport Vehicle""]"
3140,2019-04-30 12:27:17,Agriculture,Farm land,administrator,Private,In Use,West Kameng,Shergaon,Rowta,27.16577,92.28758,Approved,https://smartvillage.imagetrekk.com/storage/images/TI0U0Mka9wFkachLhzSjsniRPuBW2m5PJjQmKswa.jpeg?asset_id=3140,Rinchin Dema Thungon,2,Pakka Road,24,2G Unreliable,"[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","[""BSNL""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",4,Water from Government,,Burnt within the premises,,Yes,1,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,Supplier in other states,,None,,None,,River/Stream,,Others,none,"[""Village Meeting ""]",10000,5000,Kiwi,1-100,Hand Written,Hand Written,Hand Written,Hand Written,"[""Farmers"",""Others""]","[""Mini Luggage Transport Vehicle""]"
3145,2019-05-01 10:08:22,Agriculture,Farm land,tana topu tara,Private,In Use,Papumpare,Doimukh,Lekhi,27.21676,93.81982,Pending,https://smartvillage.imagetrekk.com/storage/images/0cNVMNpAj6khqAPdPYJ35h8yxgZrH2O0dD9I0orp.jpeg?asset_id=3145,privately owned by villagers,2,Footway,10,Nil,,,,,,,"Kacha/Temporary(Wood,Bamboo,etc.,)","[""None""]",10,Ground Water,,Burnt within the premises,,No,,Yes,7,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,None,,Lath/Bamboo,,River/Stream,,Canal Irrigation,,"[""Others""]",3000,1500,paddy,1-100,None,None,None,None,"[""Others""]","[""2 Wheeler""]"
3147,2019-05-02 03:08:33,Agriculture,Farm land,dobum raju,Private,In Use,Papumpare,Doimukh,Lekha,27.16555,93.7702,Pending,https://smartvillage.imagetrekk.com/storage/images/jp4ec0nsL2ds1NyemBug42GbVcTnj9njakpC7ytg.jpeg?asset_id=3147,good,3,,4,4G+ Reliable,[],[],[],[],[],[],"Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",6,Ground Water,,Burnt within the premises,,Yes,1,Yes,1,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,Fertilizer,,Lath/Bamboo,,Ground Water,,Canal Irrigation,,"[""Marketing team\/ Sales Agents"",""Multimedia""]",50000,50000,paddy,1-100,None,None,None,None,"[""Farmers"",""None"",""Others""]","[""Tempo\/Auto"",""Sumo\/Tracker""]"
3173,2019-05-02 08:13:52,Agriculture,Farm land,kejang pema,Private,In Use,West Kameng,Dirang,Dirang,27.81779,93.52436,Pending,https://smartvillage.imagetrekk.com/storage/images/HU8SkplMVPYTMH3UOHhz6qj3Nt4YqCK9eWVKRono.jpeg?asset_id=3173,maize field,1,Pakka Road,0.3,4G Unreliable,"[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","[""Vodafone"",""BSNL"",""Airtel""]","Kacha/Temporary(Wood,Bamboo,etc.,)","[""Compound Wall\/ Fencing""]",1,Water from Government,,None,,No,,No,,None,,,,,,,Traditional Book Keeping,,"[""None""]",No,,No,,None,,Fertilizer,,None,,Rainfed,,Drip Irrigation,,"[""Others""]",500,50,maize,1-100,None,None,None,None,"[""None""]","[""Head Load""]"
